opponent_team_name,opponent_team_alias,lakers_score,opponent_score,game_location,game_date,minutes,field_goals_made,field_goals_att,field_goals_pct,three_points_made,three_points_att,three_points_pct,two_points_made,two_points_att,two_points_pct,blocked_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,assists_turnover_ratio,personal_fouls,tech_fouls,flagrant_fouls,pls_min,points,double_double,triple_double,effective_fg_pct,efficiency,efficiency_game_score,points_in_paint,points_in_paint_att,points_in_paint_made,points_in_paint_pct,true_shooting_att,true_shooting_pct,fouls_drawn,offensive_fouls,points_off_turnovers,second_chance_pts,fast_break_pts,fast_break_att,fast_break_made,fast_break_pct,defensive_rating,offensive_rating,coach_ejections,minus,plus,defensive_rebounds_pct,offensive_rebounds_pct,rebounds_pct,steals_pct,turnovers_pct,coach_tech_fouls,second_chance_att,second_chance_made,second_chance_pct
Kings,SAC,136,134,away,2023-01-08T03:00:00+00:00,37:43,14,28,50.0,1,6,16.7,13,22,59.1,1,8,9,88.9,1,7,8,7,4,1,0,1.75,2,1,0,15,37,False,False,51.8,38,26.5,26,21,13,61.9,31.96,57.9,8,2,7,0,4,2,2,100.0,128.257000594837,121.862941284634,0,98,113,21.7272541999289,4.10514941104647,14.1399590824934,1.23218078759141,11.1234705228031,0,1,0,0.0
Nuggets,DEN,109,122,away,2023-01-10T02:00:00+00:00,00:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,False,False,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Mavericks,DAL,115,119,home,2023-01-13T03:00:00+00:00,46:45,9,28,32.1,0,7,0.0,9,21,42.9,6,6,10,60.0,6,10,16,9,3,2,0,3.0,0,0,0,-3,24,True,False,32.1,29,18.9,18,20,9,45.0,32.4,37.0,10,0,1,11,7,5,3,60.0,100.614706986334,89.393593317329,0,91,88,27.5694226582627,11.4519140272784,18.0454402854083,2.07670575765287,8.47457627118644,0,7,5,71.4
76ers,PHI,112,113,home,2023-01-16T02:30:00+00:00,35:18,15,23,65.2,1,5,20.0,14,18,77.8,0,4,5,80.0,0,8,8,10,3,1,1,3.33,1,0,0,19,35,True,False,67.4,46,32.2,18,10,9,90.0,25.2,69.4,4,0,4,0,8,6,3,50.0,113.856317099514,129.771157216289,0,70,89,27.8939723958634,0.0,14.3140121505089,1.3825042235648,10.6382978723404,0,1,0,0.0
Rockets,HOU,140,132,home,2023-01-17T03:30:00+00:00,35:51,16,26,61.5,5,10,50.0,11,16,68.8,1,11,12,91.7,1,7,8,9,0,0,0,0.0,1,0,0,19,48,False,False,71.2,60,44.5,16,11,8,72.7,31.28,76.7,8,0,0,4,16,7,5,71.4,127.219565969872,167.118260065793,0,94,113,19.9412445473159,3.34728033472803,12.3118357139422,0.0,0.0,0,2,2,100.0
Kings,SAC,111,116,home,2023-01-19T03:30:00+00:00,36:30,11,25,44.0,2,9,22.2,9,16,56.3,1,8,9,88.9,0,8,8,9,1,1,1,9.0,0,0,0,-16,32,False,False,48.0,40,27.9,10,8,5,62.5,28.96,55.2,6,0,4,0,4,4,2,50.0,119.519835586695,120.142667554221,0,94,78,23.9103362391034,0.0,12.6753589701271,1.37157748555557,3.33778371161549,0,1,0,0.0
Grizzlies,MEM,122,121,home,2023-01-21T03:00:00+00:00,36:32,8,21,38.1,1,5,20.0,7,16,43.8,2,6,7,85.7,2,7,9,6,3,2,2,2.0,4,0,0,9,23,False,False,40.5,25,17.6,12,13,6,46.2,24.08,47.8,6,0,2,7,4,2,1,50.0,106.397726053099,100.626354659987,0,91,100,15.0769744610561,5.36265563920947,10.7496869858699,2.39753764891664,11.0782865583456,0,4,3,75.0
Trail Blazers,POR,121,112,away,2023-01-23T02:00:00+00:00,35:56,14,24,58.3,2,7,28.6,12,17,70.6,0,7,10,70.0,0,11,11,4,4,0,2,1.0,2,0,0,17,37,True,False,62.5,41,27.3,20,11,10,90.9,28.4,65.1,6,1,7,0,13,5,5,100.0,111.711423948301,120.343784870197,0,83,100,28.2564083536218,0.0,16.5093621841386,0.0,12.3456790123457,0,2,0,0.0
Clippers,LAC,115,133,home,2023-01-25T03:00:00+00:00,32:35,16,29,55.2,9,14,64.3,7,15,46.7,4,5,5,100.0,1,7,8,7,0,2,1,0.0,0,0,0,-14,46,False,False,70.7,53,42.5,14,14,7,50.0,31.2,73.7,6,0,4,7,7,2,2,100.0,132.143567768616,153.869304799447,0,95,81,34.3718192001391,3.00628156269438,14.9172452224835,2.98798776008164,0.0,0,4,3,75.0
Spurs,SAS,113,104,home,2023-01-26T03:30:00+00:00,35:19,8,20,40.0,1,6,16.7,7,14,50.0,0,3,4,75.0,1,8,9,11,6,0,0,1.83,0,0,0,2,20,True,False,42.5,23,13.6,8,10,4,40.0,21.76,46.0,2,0,0,2,7,5,3,60.0,100.3949753864,93.1866804837165,0,85,87,17.5375966033085,3.23610413513432,11.7619938757766,0.0,21.6138328530259,0,3,1,33.3
Celtics,BOS,121,125,away,2023-01-29T01:30:00+00:00,44:13,15,30,50.0,6,12,50.0,9,18,50.0,2,5,6,83.3,1,8,9,8,2,0,0,4.0,2,0,0,1,41,False,False,60.0,42,31.5,18,12,9,75.0,32.64,62.8,6,0,2,7,8,3,3,100.0,121.257965086966,126.340162161347,0,101,102,22.3008400859704,2.39734030924182,11.6000337543959,0.0,5.77367205542725,0,3,3,100.0
Nets,BKN,104,121,away,2023-01-31T00:30:00+00:00,00:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,False,False,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Knicks,NYK,129,123,away,2023-02-01T00:30:00+00:00,42:56,11,25,44.0,2,8,25.0,9,17,52.9,0,4,7,57.1,1,9,10,11,5,1,0,2.2,2,0,0,22,28,True,True,48.0,31,20.0,16,11,8,72.7,28.08,49.9,5,1,0,0,2,1,1,100.0,113.771060694805,103.584071288799,0,80,102,24.152714015663,2.87086523183591,13.8704724684207,1.1421836137023,15.1148730350665,0,2,0,0.0
Pacers,IND,112,111,away,2023-02-03T00:00:00+00:00,32:58,11,19,57.9,2,5,40.0,9,14,64.3,0,2,2,100.0,2,5,7,7,3,0,0,2.33,1,0,0,-4,26,False,False,63.2,31,21.5,14,10,7,70.0,19.88,65.4,3,1,4,2,3,1,1,100.0,111.102621600821,120.79790073317,0,80,76,16.5456383858811,5.49440067153786,10.5073332429925,0.0,13.1118881118881,0,1,0,0.0
Pelicans,NOP,126,131,away,2023-02-04T23:00:00+00:00,39:37,10,22,45.5,1,7,14.3,9,15,60.0,0,6,9,66.7,0,9,9,6,2,0,0,3.0,2,0,0,-5,27,False,False,47.7,29,18.5,16,11,8,72.7,25.96,52.0,6,1,2,0,9,5,4,80.0,124.675003398635,109.975333693626,0,101,96,24.2322254943206,0.0,11.8527189917872,0.0,7.15307582260372,0,1,0,0.0
Thunder,OKC,130,133,home,2023-02-08T03:00:00+00:00,33:57,13,20,65.0,4,6,66.7,9,14,64.3,0,8,10,80.0,0,7,7,3,4,3,0,0.75,3,0,0,8,38,False,False,75.0,43,30.4,18,12,9,75.0,24.4,77.9,8,1,8,0,12,4,4,100.0,118.471673164859,132.226100857715,0,80,88,23.5646432165738,0.0,12.6886540396936,3.89856229685964,14.0845070422535,0,1,0,0.0
Bucks,MIL,106,115,home,2023-02-10T03:00:00+00:00,00:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,False,False,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Warriors,GSW,109,103,away,2023-02-12T01:30:00+00:00,00:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,False,False,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
Trail Blazers,POR,115,127,away,2023-02-14T03:00:00+00:00,00:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,False,False,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
